name,alpha,max_iter,lambda,J_train,J_cross
w1d2t3,0.1,30000,0,283940313.19526666,286371613.8942404
w1d2t3,0.1,30000,0.2,291124487.12871706,286337425.4907691
w1d2t3,0.1,30000,0.4,298189325.0756134,286420090.8529415
w1d2t3,0.1,30000,0.6,305138022.6619981,286613417.3944829
w1d2t3,0.1,30000,0.8,311973662.0427058,286911537.22126293
w1d2t3,0.1,30000,1,318699216.96302766,287308888.5647052
w1d2t4,0.1,30000,0,283939617.2982838,286377487.39596224
w1d2t4,0.1,30000,0.2,291123525.14792395,286341171.29710084
w1d2t4,0.1,30000,0.4,298188109.7038535,286422008.5517293
w1d2t4,0.1,30000,0.6,305136565.44206214,286613767.7210467
w1d2t4,0.1,30000,0.8,311971973.5592398,286910547.399334
w1d2t4,0.1,30000,1,318697306.99562323,287306756.86820865
w1d3t1,0.1,300000,0,128020542.71868365,121836118.47493581
w1d3t1,0.1,300000,0.2,191431314.64928257,158927452.55471867
w1d3t1,0.1,300000,0.4,211985040.4227218,182294404.16009173
w1d3t1,0.1,300000,0.6,222929668.31996408,195730245.8610493
w1d3t1,0.1,300000,0.8,230314613.86217147,204169587.1909673
w1d3t1,0.1,300000,1,235991964.1872804,209925484.3538499
w1d3t2,0.1,300000,0,127973641.39984892,121929234.5134638
w1d3t2,0.1,300000,0.2,191406662.95956457,158946081.7232102
w1d3t2,0.1,300000,0.4,211965802.45816293,182294588.5953652
w1d3t2,0.1,300000,0.6,222912688.48907766,195723339.30265072
w1d3t2,0.1,300000,0.8,230298840.79208818,204159101.95385095
w1d3t2,0.1,300000,1,235976925.25646895,209912867.3144355
w1d3t3,0.1,300000,0,127973666.90345024,121932079.44803154
w1d3t3,0.1,300000,0.2,191406479.24926963,158939952.25021335
w1d3t3,0.1,300000,0.4,211965275.97782558,182283541.7900603
w1d3t3,0.1,300000,0.6,222911981.9858737,195710107.4250273
w1d3t3,0.1,300000,0.8,230298044.73516428,204144987.26763803
w1d3t3,0.1,300000,1,235976087.7018817,209898512.41741925
w1d3t4,0.1,300000,0,127972568.41242048,121941889.55978751
w1d3t4,0.1,300000,0.2,191405799.86758327,158946444.17929503
w1d3t4,0.1,300000,0.4,211964566.23901197,182287549.53287086
w1d3t4,0.1,300000,0.6,222911192.89120266,195712295.94439834
w1d3t4,0.1,300000,0.8,230297171.8555764,204145735.38822958
w1d3t4,0.1,300000,1,235975135.25331622,209898069.46231902
w1d4t1,0.1,300000,0,127952072.47971253,120451462.63380453
w1d4t1,0.1,300000,0.2,144622103.0778622,124951526.66621873
w1d4t1,0.1,300000,0.4,156075151.3326785,131243529.88726215
w1d4t1,0.1,300000,0.6,164649669.42028803,137353075.01698548
w1d4t1,0.1,300000,0.8,171438231.70248896,142819630.8822531
w1d4t1,0.1,300000,1,177039602.8017014,147596629.73830187
w1d4t2,0.1,300000,0,127904402.99738649,120575229.16120957
w1d4t2,0.1,300000,0.2,144582488.2584088,125033059.99239005
w1d4t2,0.1,300000,0.4,156040385.94142297,131302105.03434698
w1d4t2,0.1,300000,0.6,164618142.53268886,137397546.62165585
w1d4t2,0.1,300000,0.8,171409010.3819539,142854688.4577184
w1d4t2,0.1,300000,1,177012099.4772631,147625016.01021734
w1d4t3,0.1,300000,0,127903062.0393038,120584901.6879254
w1d4t3,0.1,300000,0.2,144581812.26042745,125041185.3962904
w1d4t3,0.1,300000,0.4,156040028.2345914,131308636.90556848
w1d4t3,0.1,300000,0.6,164617942.55727342,137402731.77915785
w1d4t3,0.1,300000,0.8,171408893.40399212,142858801.37114134
w1d4t3,0.1,300000,1,177012028.3464974,147628294.24329165
w1d4t4,0.1,300000,0,127901956.74157627,120592832.22531396
w1d4t4,0.1,300000,0.2,144581453.5350415,125044900.64864421
w1d4t4,0.1,300000,0.4,156039782.73815334,131310717.57329305
w1d4t4,0.1,300000,0.6,164617718.33412543,137403953.59955263
w1d4t4,0.1,300000,0.8,171408665.39026916,142859428.79076812
w1d4t4,0.1,300000,1,177011787.3569359,147628437.47392696
w2d1t1,0.1,3000,0,885574485.2672337,868504100.804175
w2d1t1,0.1,3000,0.2,886830890.0539751,868523315.1704831
w2d1t1,0.1,3000,0.4,888083591.32396,868546046.9733225
w2d1t1,0.1,3000,0.6,889332609.7805896,868572256.7678511
w2d1t1,0.1,3000,0.8,890577965.9724693,868601905.5506158
w2d1t1,0.1,3000,1,891819680.2948544,868634954.7540948
w2d1t2,0.1,3000,0,885569183.8210226,868384711.992726
w2d1t2,0.1,3000,0.2,886825523.3484313,868403653.738086
w2d1t2,0.1,3000,0.4,888078159.3650005,868426119.5255129
w2d1t2,0.1,3000,0.6,889327112.578268,868452069.799989
w2d1t2,0.1,3000,0.8,890572403.5408868,868481465.4496673
w2d1t2,0.1,3000,1,891814052.6520709,868514267.8003885
w2d1t3,0.1,3000,0,885529214.5736688,868513330.4124582
w2d1t3,0.1,3000,0.2,886786374.136256,868531107.8729415
w2d1t3,0.1,3000,0.4,888039809.8294234,868552421.0475708
w2d1t3,0.1,3000,0.6,889289542.9476177,868577230.2267635
w2d1t3,0.1,3000,0.8,890535594.6119838,868605496.1468127
w2d1t3,0.1,3000,1,891777985.7724173,868637179.9843473
w2d1t4,0.1,3000,0,885494611.3866389,868602304.6488725
w2d1t4,0.1,3000,0.2,886752075.0994272,868619534.9612343
w2d1t4,0.1,3000,0.4,888005811.1446807,868640307.1427953
w2d1t4,0.1,3000,0.6,889255840.8738871,868664581.3546679
w2d1t4,0.1,3000,0.8,890502185.4644318,868692318.2073531
w2d1t4,0.1,3000,1,891744865.9216541,868723478.7550981
w2d2t1,0.1,30000,0,169207321.34025583,176027917.04150236
w2d2t1,0.1,30000,0.2,177075884.52128407,175965378.86239412
w2d2t1,0.1,30000,0.4,184821660.77181977,176023882.8002165
w2d2t1,0.1,30000,0.6,192447859.63297683,176197161.029145
w2d2t1,0.1,30000,0.8,199957577.63545194,176479274.68442905
w2d2t1,0.1,30000,1,207353803.24982706,176864594.75251147
w2d2t2,0.1,30000,0,169206951.05411768,176056783.28881785
w2d2t2,0.1,30000,0.2,177075575.92332658,175991579.33765623
w2d2t2,0.1,30000,0.4,184821407.41696873,176047487.28439292
w2d2t2,0.1,30000,0.6,192447655.35246852,176218236.92925254
w2d2t2,0.1,30000,0.8,199957416.52386665,176497887.13901722
w2d2t2,0.1,30000,1,207353679.65281892,176880806.73132238
w2d2t3,0.1,30000,0,169204943.09555572,176025353.42913377
w2d2t3,0.1,30000,0.2,177073429.9142601,175962102.6670343
w2d2t3,0.1,30000,0.4,184819130.8357849,176019902.93645808
w2d2t3,0.1,30000,0.6,192445255.35818624,176192484.52414015
w2d2t3,0.1,30000,0.8,199954899.96857014,176473907.05086404
w2d2t3,0.1,30000,1,207351053.0941124,176858540.2966408
w2d2t4,0.1,30000,0,169205009.05806115,176028827.44254118
w2d2t4,0.1,30000,0.2,177073415.49261048,175963875.43724528
